BRNES0,AdhocTD0,DARL0,BRNES10,AdhocTD10,DARL10,BRNES30,AdhocTD30,DARL30,BRNES40,AdhocTD40,DARL40
-14.8385,7.264,-9.8195,-1.209,-13.2955,-11.7435,-5.0855,-8.8795,-7.723,-2.367,-19.148,-11.644
9.306,9.4585,9.1435,9.253,-11.7065,8.3225,8.341,-2.548,-3.959,9.505,-14.897,-5.7605
9.726,9.7575,9.602,9.53,-3.336,9.2345,9.4095,0.987,3.6665,9.754,-8.4855,2.588
9.754,9.984,9.7795,9.6845,7.5345,9.777,9.566,1.592,6.966,9.9065,-8.301,5.805
9.829,9.9555,9.7445,9.8125,5.6715,9.758,9.657,4.85,9.402,9.873,-5.6895,7.828
9.8425,9.9865,9.876,9.8645,-3.015,9.846,9.811,3.5845,9.438,9.9615,-2.0235,8.813
9.8595,9.9885,9.8305,9.9435,1.833,9.9055,9.846,1.028,9.655,9.9575,-3.566,9.875
9.8615,9.9985,9.957,9.899,8.413,9.93,9.879,5.6915,9.708,9.984,-1.8595,9.9165
9.9215,9.994,9.893,9.9375,3.081,9.9485,9.8705,-1.358,9.7035,9.9805,-0.698,9.908
9.871,10,9.9225,9.948,8.1385,9.965,9.9075,-0.553,9.736,9.962,0.457,9.957
